Hc_80_Cap_Cycles,Project,Hc_80_Cap_Cycles_d
3,Innovation,103
0,Innovation,100
405,Safety,505
405,Safety,505
405,Safety,505
397,Safety,497
389,Safety,489
389,Safety,489
380,Safety,480
378,Safety,478
378,Safety,478
375,Safety,475
362,Safety,462
362,Safety,462
361,Safety,461
360,Safety,460
360,Safety,460
354,Safety,454
346,Safety,446
335,Safety,435
322,Safety,422
297,Safety,397
297,Safety,397
296,Safety,396
294,Safety,394
291,Safety,391
291,Safety,391
288,Safety,388
287,Safety,387
287,Safety,387
287,Safety,387
286,Safety,386
286,Safety,386
286,Safety,386
286,Safety,386
284,Safety,384
284,Safety,384
284,Safety,384
277,Safety,377
262,Safety,362
262,Safety,362
248,Safety,348
243,Safety,343
243,Safety,343
233,Safety,333
230,Safety,330
227,Safety,327
227,Safety,327
220,Safety,320
220,Safety,320
219,Safety,319
218,Safety,318
216,Safety,316
215,Safety,315
214,Safety,314
213,Safety,313
209,Safety,309
201,Safety,301
182,Safety,282
182,Safety,282
181,Safety,281
181,Safety,281
180,Safety,280
179,Safety,279
177,Safety,277
177,Safety,277
176,Safety,276
175,Safety,275
175,Safety,275
174,Safety,274
174,Safety,274
173,Safety,273
172,Safety,272
171,Safety,271
171,Safety,271
170,Safety,270
170,Safety,270
169,Safety,269
168,Safety,268
168,Safety,268
167,Safety,267
167,Safety,267
166,Safety,266
165,Safety,265
163,Safety,263
162,Safety,262
157,Safety,257
156,Safety,256
156,Safety,256
155,Safety,255
151,Safety,251
150,Safety,250
149,Safety,249
146,Safety,246
141,Safety,241
136,Safety,236
134,Safety,234
131,Safety,231
130,Safety,230
129,Safety,229
129,Safety,229
127,Safety,227
123,Safety,223
120,Safety,220
117,Safety,217
113,Safety,213
110,Safety,210
101,Safety,201
100,Safety,200
99,Safety,199
97,Safety,197
80,Safety,180
79,Safety,179
79,Safety,179
73,Safety,173
68,Safety,168
67,Safety,167
66,Safety,166
63,Safety,163
61,Safety,161
60,Safety,160
184,Product,284
184,Product,284
184,Product,284
182,Product,282
182,Product,282
182,Product,282
182,Product,282
181,Product,281
181,Product,281
181,Product,281
181,Product,281
180,Product,280
180,Product,280
179,Product,279
179,Product,279
179,Product,279
179,Product,279
177,Product,277
177,Product,277
177,Product,277
177,Product,277
176,Product,276
176,Product,276
176,Product,276
176,Product,276
175,Product,275
175,Product,275
175,Product,275
175,Product,275
175,Product,275
175,Product,275
174,Product,274
174,Product,274
174,Product,274
174,Product,274
173,Product,273
173,Product,273
172,Product,272
172,Product,272
171,Product,271
171,Product,271
171,Product,271
171,Product,271
171,Product,271
171,Product,271
170,Product,270
170,Product,270
170,Product,270
170,Product,270
169,Product,269
169,Product,269
168,Product,268
168,Product,268
168,Product,268
168,Product,268
167,Product,267
167,Product,267
167,Product,267
167,Product,267
166,Product,266
166,Product,266
166,Product,266
166,Product,266
165,Product,265
165,Product,265
164,Product,264
164,Product,264
163,Product,263
163,Product,263
162,Product,262
162,Product,262
157,Product,257
157,Product,257
156,Product,256
156,Product,256
156,Product,256
156,Product,256
156,Product,256
156,Product,256
155,Product,255
155,Product,255
153,Product,253
153,Product,253
151,Product,251
151,Product,251
150,Product,250
150,Product,250
149,Product,249
149,Product,249
146,Product,246
146,Product,246
141,Product,241
141,Product,241
136,Product,236
136,Product,236
134,Product,234
134,Product,234
131,Product,231
131,Product,231
130,Product,230
130,Product,230
130,Product,230
130,Product,230
129,Product,229
129,Product,229
129,Product,229
129,Product,229
127,Product,227
127,Product,227
123,Product,223
123,Product,223
121,Product,221
121,Product,221
120,Product,220
120,Product,220
117,Product,217
117,Product,217
116,Product,216
116,Product,216
113,Product,213
113,Product,213
110,Product,210
110,Product,210
101,Product,201
101,Product,201
100,Product,200
100,Product,200
99,Product,199
99,Product,199
97,Product,197
97,Product,197
80,Product,180
80,Product,180
79,Product,179
79,Product,179
79,Product,179
79,Product,179
79,Product,179
79,Product,179
73,Product,173
73,Product,173
69,Product,169
69,Product,169
68,Product,168
68,Product,168
67,Product,167
67,Product,167
66,Product,166
66,Product,166
63,Product,163
63,Product,163
62,Product,162
62,Product,162
61,Product,161
61,Product,161
60,Product,160
60,Product,160
57,Product,157
57,Product,157
40,Product,140
40,Product,140
38,Product,138
38,Product,138
36,Product,136
36,Product,136
22,Product,122
22,Product,122
13,Product,113
13,Product,113
10,Product,110
10,Product,110
